# SYNTHETIC DATA — NOT FROM A WEATHER STATION
# Generated for CropForge wheat_basic.py reference example (PRD Section 10.3)
# Represents a temperate wheat growing season (approximately March–June)
# DO NOT use for agronomic decision-making.
# Columns: date, tmax_c, tmin_c, radiation_mj, rainfall_mm, humidity_pct, wind_ms
date,tmax_c,tmin_c,radiation_mj,rainfall_mm,humidity_pct,wind_ms
2026-04-01,18.0,7.8,15.5,0.0,58.0,1.5
2026-04-02,19.5,9.0,17.0,0.0,54.0,1.2
2026-04-03,20.2,9.8,17.8,0.0,52.0,1.1
2026-04-04,20.8,10.2,18.2,0.0,51.0,1.0
2026-04-05,20.1,9.8,17.5,0.0,52.0,1.2
2026-04-06,19.5,9.2,16.8,2.5,57.0,1.8
2026-04-07,18.2,8.0,15.5,5.0,63.0,2.4
2026-04-08,17.5,7.2,14.8,0.0,62.0,2.1
2026-04-09,18.8,8.2,16.2,0.0,58.0,1.7
2026-04-10,20.0,9.5,17.5,0.0,55.0,1.4
2026-04-11,21.2,10.5,18.8,0.0,52.0,1.2
2026-04-12,22.0,11.2,19.5,0.0,50.0,1.0
2026-04-13,22.5,11.8,20.0,0.0,49.0,0.9
2026-04-14,21.8,11.2,19.2,0.0,51.0,1.1
2026-04-15,20.5,10.0,17.8,1.8,56.0,1.7
2026-04-16,19.2,9.0,16.5,4.2,61.0,2.3
2026-04-17,18.5,8.2,15.8,0.0,60.0,2.0
2026-04-18,19.8,9.5,17.2,0.0,56.0,1.6
2026-04-19,21.0,10.5,18.5,0.0,53.0,1.3
2026-04-20,22.2,11.5,19.8,0.0,50.0,1.1
2026-04-21,23.0,12.0,20.5,0.0,48.0,0.9
2026-04-22,23.5,12.5,21.0,0.0,47.0,0.8
2026-04-23,23.0,12.2,20.5,0.0,48.0,1.0
2026-04-24,22.0,11.5,19.2,3.0,53.0,1.6
2026-04-25,21.0,10.8,18.0,6.5,58.0,2.2
2026-04-26,20.2,10.0,17.2,0.0,57.0,1.9
2026-04-27,21.5,11.0,18.8,0.0,53.0,1.5
2026-04-28,22.8,12.0,20.2,0.0,50.0,1.2
2026-04-29,23.8,12.8,21.2,0.0,48.0,1.0
2026-04-30,24.5,13.5,22.0,0.0,46.0,0.8
2026-05-01,25.0,14.0,22.5,0.0,45.0,0.8
2026-05-02,24.5,13.8,22.0,0.0,46.0,0.9
2026-05-03,23.8,13.0,21.0,2.2,50.0,1.5
2026-05-04,22.5,12.0,19.5,5.8,55.0,2.1
2026-05-05,21.8,11.5,18.8,0.0,54.0,1.8
2026-05-06,23.0,12.5,20.2,0.0,51.0,1.4
2026-05-07,24.2,13.5,21.5,0.0,48.0,1.1
2026-05-08,25.5,14.5,23.0,0.0,46.0,0.9
2026-05-09,26.0,15.0,23.5,0.0,44.0,0.8
2026-05-10,25.5,14.8,23.0,0.0,45.0,0.9
2026-05-11,24.8,14.0,22.0,1.5,48.0,1.4
2026-05-12,23.5,13.0,20.5,4.0,53.0,2.0
2026-05-13,22.8,12.5,19.8,0.0,52.0,1.7
2026-05-14,24.0,13.5,21.2,0.0,49.0,1.3
2026-05-15,25.2,14.5,22.5,0.0,47.0,1.0
2026-05-16,26.5,15.5,24.0,0.0,45.0,0.8
2026-05-17,27.0,16.0,24.5,0.0,43.0,0.7
2026-05-18,26.5,15.8,24.0,0.0,44.0,0.9
2026-05-19,25.8,15.0,23.0,0.0,46.0,1.1
2026-05-20,25.0,14.5,22.0,2.8,50.0,1.6
2026-05-21,24.0,13.8,20.8,6.2,55.0,2.2
2026-05-22,23.5,13.2,20.0,0.0,54.0,1.9
2026-05-23,24.8,14.2,21.5,0.0,51.0,1.5
2026-05-24,26.0,15.2,23.0,0.0,48.0,1.2
2026-05-25,27.2,16.2,24.5,0.0,46.0,0.9
2026-05-26,28.0,17.0,25.2,0.0,44.0,0.8
2026-05-27,27.5,16.5,24.8,0.0,45.0,0.9
2026-05-28,26.8,16.0,24.0,0.0,46.0,1.0
2026-05-29,26.2,15.5,23.2,3.5,50.0,1.5
2026-05-30,25.0,14.8,22.0,7.0,55.0,2.0
